,x4,x5,att_stability,F_major_att,major_att_size
"[('x1', 1)]",1.0,0.5859375,1.0403389297122625,-11.0,0.453125
"[('x2', 1)]",1.0,0.5859375,1.0403389297122625,-3.0,0.453125
"[('x3', 1)]",0.0,1.0,1.3221021722773614,-11.0,0.3515625
"[('x4', 1)]",1.0,0.5625,1.353473139844425,5.0,0.5
"[('x5', 1)]",0.0,1.0,0.9552286704126214,-9.0,0.46484375
"[('x6', 1)]",0.0,1.0,1.0123583852408016,-11.0,0.4453125
"[('x7', 1)]",0.4140625,0.5859375,1.0403389297122625,7.0,0.453125
"[('x8', 1)]",0.4140625,0.5859375,1.0403389297122625,5.0,0.453125
"[('x9', 1)]",0.4140625,0.5859375,1.0403389297122625,1.0,0.453125
"[('x1', 0)]",0.4140625,0.5859375,1.4317401718071279,6.0,0.453125
"[('x2', 0)]",0.4140625,0.5859375,1.4317401718071279,6.0,0.453125
"[('x3', 0)]",1.0,0.5625,1.0239287996389363,-1.0,0.5
"[('x4', 0)]",0.0,0.8125,1.096436695344335,-9.0,0.60546875
"[('x5', 0)]",1.0,0.0,0.0,-7.0,1.0
"[('x6', 0)]",1.0,0.0,0.0,-7.0,1.0
"[('x7', 0)]",0.4140625,0.5859375,1.0403389297122625,5.0,0.453125
"[('x8', 0)]",0.4140625,0.5859375,1.0403389297122625,1.0,0.453125
"[('x9', 0)]",0.4140625,0.5859375,1.0403389297122625,-3.0,0.453125
